Architecture,Accuracy,Precision,Recall,F1,Parameters,Model_Size_MB,Training_Time_Seconds
ResNet50,0.96,0.95,0.95,0.95,23508000.0,90.0,0.0
EfficientNet-B0,0.9528848941722239,0.9452255707365541,0.9401840631428462,0.9370947770081373,4065193.0,15.796232223510742,6237.030584573746
